producto,toneladas,fecha
centeno,54,1999/7
centeno,116,1999/6
centeno,101,1999/3
centeno,97,1999/5
centeno,11,1999/11
centeno,0,1999/10
centeno,19,1999/9
girasol,763339,1999/4
girasol,461216,1999/8
girasol,187153,1999/12
girasol,230580,1999/1
girasol,459254,1999/2
girasol,623961,1999/7
girasol,538975,1999/6
girasol,870991,1999/3
girasol,630913,1999/5
girasol,371681,1999/11
girasol,453236,1999/10
girasol,492436,1999/9
maiz,203682,1999/4
maiz,176475,1999/8
maiz,156279,1999/12
maiz,195984,1999/1
maiz,186498,1999/2
maiz,192803,1999/7
maiz,198710,1999/6
maiz,200058,1999/3
maiz,192968,1999/5
maiz,173818,1999/11
maiz,165721,1999/10
maiz,171068,1999/9
mani,0,1999/4
mani,18317,1999/8
mani,9672,1999/12
mani,22860,1999/1
mani,18581,1999/2
mani,14390,1999/7
mani,31074,1999/6
mani,12977,1999/3
mani,14085,1999/5
mani,18174,1999/11
mani,15004,1999/10
mani,28463,1999/9
soja,1374825,1999/4
soja,1849236,1999/8
soja,1152154,1999/12
soja,1177144,1999/1
soja,836723,1999/2
soja,1730751,1999/7
soja,1846970,1999/6
soja,635078,1999/3
soja,1797287,1999/5
soja,1491591,1999/11
soja,1672781,1999/10
soja,1712334,1999/9
avena,1250,2000/4
avena,1294,2000/8
avena,944,2000/12
avena,1262,2000/1
avena,966,2000/2
avena,1088,2000/7
avena,1130,2000/6
avena,1058,2000/3
avena,1133,2000/5
avena,447,2000/11
avena,700,2000/10
avena,1426,2000/9
centeno,10,2000/4
centeno,11,2000/8
centeno,91,2000/12
centeno,6,2000/1
centeno,8,2000/2
centeno,5,2000/7
centeno,6,2000/6
centeno,9,2000/3
centeno,7,2000/5
centeno,85,2000/11
centeno,81,2000/10
centeno,85,2000/9
girasol,575171,2000/4
girasol,417682,2000/8
girasol,270710,2000/12
girasol,340035,2000/1
girasol,461190,2000/2
girasol,345889,2000/7
girasol,418152,2000/6
girasol,778651,2000/3
girasol,431995,2000/5
girasol,344902,2000/11
girasol,393554,2000/10
girasol,371443,2000/9
maiz,186108,2000/4
maiz,173278,2000/8
maiz,184156,2000/12
maiz,163420,2000/1
maiz,178935,2000/2
maiz,172256,2000/7
maiz,161069,2000/6
maiz,196192,2000/3
maiz,178564,2000/5
maiz,199122,2000/11
maiz,194343,2000/10
maiz,164318,2000/9
mani,0,2000/4
mani,19006,2000/8
mani,14376,2000/12
mani,12353,2000/1
mani,574,2000/2
mani,15123,2000/7
mani,19689,2000/6
mani,0,2000/3
mani,14892,2000/5
mani,14507,2000/11
mani,19348,2000/10
mani,14752,2000/9
soja,1605070,2000/4
soja,1814205,2000/8
soja,1223102,2000/12
soja,1121649,2000/1
soja,857247,2000/2
soja,1735931,2000/7
soja,1606709,2000/6
soja,717741,2000/3
soja,1809469,2000/5
soja,1528214,2000/11
soja,1525178,2000/10
soja,1688486,2000/9
avena,1413,2001/4
avena,1398,2001/8
avena,748,2001/12
avena,1743,2001/1
avena,1044,2001/2
avena,1256,2001/7
avena,1076,2001/6
avena,611,2001/3
avena,1356,2001/5
avena,943,2001/11
avena,802,2001/10
avena,783,2001/9
centeno,68,2001/4
centeno,53,2001/8
centeno,26,2001/12
